_id,user_id,user_name,friend_count,follower_count,status_count,user_location,geolocation.location.lat,geolocation.location.lng
ObjectId(5c894621e783f23ca09b3dd3),102142741,FamiliesForHim,97,64,46,"Prattville, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b3dda),102163638,ehmeejay,79,26,291,"Los Angeles, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3e05),102291834,shanamama9197,632,634,11689,The desert of CA,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3e26),102376476,garlandcrime,0,29,66,"Garland, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3e2c),10241062,fearv,422,347,3856,"Riverside, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3e35),102449656,lhammerstudios,304,101,337,"Santa Clarita, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3e39),102457173,CoreyJMr88,553,380,6244,Deep in the Heart of Texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3e56),102526661,GetOffMyShoes,274,304,13320,"Welcome 2 my world, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3e57),102527985,OGmack,318,573,8433,"Houston , TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3e58),10252962,ktla,407,16534,18390,"Los Angeles, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3e60),102547835,iloovecock,178,135,2383,"Austin, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3e69),102557792,annaDOLLFACE,79,89,2826,"San Antonio, Texas.",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3e70),102588236,desgalindo,380,457,7823,"Stockton, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3e74),102595595,fortunefunny,95,14356,1021,"Los Angeles, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3e92),102719028,LittleMenTalkin,121,166,2272,"At a park near you, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3ea2),102770567,dedekeene,330,222,11947,Texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3ea8),102791919,MTTrainingCntr,201,39,24,"Grand Prairie, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3ebe),10283252,knoxbronson,101,153,856,"Oakland, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3ec4),102841324,iworkatpuma,180,193,9418,"Oceanside, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3ec5),102842182,AlhambraSource,443,372,499,"Alhambra, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3ecb),102864313,MoeHammer,46,44,3738,"Downey, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3edd),102912795,toriasings,217,421,8613,"bay area, california",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3ee3),10292772,hammermuseum,2150,12676,1132,"Los Angeles, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3f07),103025687,AriVoice,638,365,5831,"Ventura, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3f1e),103097325,imlauraleigh,74,87,877,Alabama.,32.346251,-86.268593
ObjectId(5c894621e783f23ca09b3f5f),10326732,MichaelMidnight,1995,1592,19005,"Los Angeles, CA.",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3f81),103361277,LindseyNSwaim,192,63,268,"Dallas, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3f88),103368464,hisintandem,822,325,1692,"Austin, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3f8d),10338902,chrissandoval,421,559,12109,"San Antonio, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3faf),103459971,LeAnna559,155,99,2192,"California, Sanger",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3fb0),103462389,LustPinkLEOPARD,152,86,2006,Katy Texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3fb6),103472516,aimanP,107,68,3521,Indiana,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3fc0),103490066,BreakingWLAnews,430,658,15072,"West Los Angeles, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3fc2),103491935,HitMyDougiee,157,215,7220,The Juice (oc) California,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3ffa),103652668,madisoncain,85,192,349,"Troy, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b3ffb),103653107,skovacs19,31,61,2773,Indianapolis,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3fff),103668792,glimmeringgems,2730,3989,52516,North Texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4008),103689134,homicidewatch,457,401,947,"Washington, D.C.",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b4019),103723883,Hard8,447,213,4809,"Arlington, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4020),10376902,brianwisti,377,284,3738,"Seattle, WA",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b4022),103780687,BallTilIFa11,483,575,17987,"Bullcity, Delaware, Boaz AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b4045),103897822,nansealove,269,203,493,"Santa Rosa, California USA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4050),103930240,lizaluker,594,244,1668,"Homewood, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b4066),103977733,BrittAlexander,193,210,2655,"Dallas, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b406e),103990836,Julio68Slapp,1156,685,5171,"Chicago,Illinois (SOUTHSIDE)",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b408c),104070628,Ciarawanablykme,126,129,1205,"Birmingham, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b40b9),104248099,1Juice1,121,121,4813,"Clarksville, IN.",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b40bd),104256723,SECPRGuy,350,2727,864,"Birmingham, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b40c1),104272080,AV8RS,169,33,164,"San Francisco, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b40c3),104275045,acCOOSH,67,56,1691,Washington D.C.,47.041398,-122.896774
ObjectId(5c894621e783f23ca09b40c8),104297513,beartheirburden,1739,603,2189,"Hollister, CA, USA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b40ca),104300763,LastQueenJewelz,821,515,16099,"FreakyWorld Chicago,California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b40d4),10433782,mercnews,454,6015,44390,"Silicon Valley, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b40d5),104342107,GabbyHoffman,2049,2334,16655,"San Diego, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b40d6),104342972,omw2l0nd0n,349,486,18623,"Cougar City, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b40eb),104397035,Zarveon,218,294,18490,Texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b40f3),104426641,Mykr0,69,42,949,"Naptown, Indiana",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b410e),104535107,mrLitke,404,488,2947,Indianapolis,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b4113),104552666,gtcox15,167,89,10965,"Nashville, IN",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b411d),10457322,enricolimcaco,223,237,6033,"Oakland, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4121),104579168,MEGABUSIVE,996,1240,27594,"San Jose, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4132),104608356,boyfromdixie,1947,2058,16701,alabama,32.346251,-86.268593
ObjectId(5c894621e783f23ca09b4146),104667493,JessicaStanPTB,990,847,4797,"Forks, WA",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b4153),104698941,AyeeeKiddo,182,877,31330,"Palmdale, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4155),104708526,MuseumTrekker,3674,3504,1654,"Washington, DC",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b415c),104743147,WebTeachers,202,75,190,"Twin Peaks, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b415f),104751955,WeLearnOnline,96,57,894,"Twin Peaks, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b416a),10477302,mattplanet,729,737,11370,"Birmingham, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b4193),104913970,CentralCAnews,134,286,19608,Central Valley California,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b41a2),104944511,AlliknowismeKB,259,213,631,"Indianapolis, Indiana",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b41af),104966490,joeahnnuh,23,88,2539,"fort worthless, texas.):",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b41ba),104989115,TheChristation,52,155,20556,"grandrpirarie, texas ya lll(:",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b41c0),104996892,laurarbrant,180,59,55,"Allen, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b41c3),105011437,JRoger777,1002,1045,6430,"Fort Worth, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b41db),105082779,StetRozayrLp,161,218,7414,California Party USA,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b41fe),105222456,goodmoine,212,215,1123,"Dallas, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4206),105254114,NeyraOrtiz,972,1435,22634,"El Monte, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b420c),105280551,WONCBACK,368,150,846,"Washington, DC",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b4210),105304331,kalnok,5564,5084,31627,"Walla Walla, WA, USA",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b423a),105460733,MyStroPro,139,35,278,"San Diego, CA, USA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4249),105515893,aprilsopinions,125,74,464,"Indianapolis, IN",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b4252),105580730,mansermatt,820,1126,1186,"Los Angeles, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b427d),105737164,SarahBos,29,18,433,"Huntington Beach, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b42c5),105982200,MusicWebTools,228,79,321,"Twin Peaks, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b42d0),106016716,Jimkaz1,55,30,58,"Bay Area, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b42d1),106018369,QuoteYE,121,279,25119,"The MOE City, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b42e4),106055724,wangshenyi,17,10,28,"Seattle, WA",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b4302),106203111,KarenED,837,1524,13499,south TX,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4306),106210766,SweetSweetVal,383,555,13173,"Houston, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4310),106232480,theMDXP,203,258,3878,"Washington, DC (METRO Area)",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b431e),106283802,soldbuysherri,3,23,226,"Oak Lawn, IL",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b4322),106291867,DanielleeEllee,103,106,762,San Jose CA,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4335),106353080,DPott87,71,35,603,"Auburn, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b4336),106353987,ladieBAAM,199,750,28753,"Bay Area , CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b433b),106365438,JilliansIsland,282,290,11629,"Oakland/ Sacramento, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b434a),106412241,ThisBelleRocks,532,630,4940,"near Huntsville, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b4354),106454378,Vethomeloans,270,154,64,"Dallas, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4362),10648962,seattlepi,8603,12143,12392,"Seattle, Washington, USA",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b4366),106510607,SeattleDatingEx,1931,1779,141046,"Seattle, Washington",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b4367),106510897,SeanJordan18,133,84,813,"Fort Wayne, IN",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b4368),106513768,travisx,120,277,5360,"Livermore, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4375),106537667,jolaurit,74,67,2716,Indianapolis,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b4380),106563854,StephyJey,48,40,241,Seattle WA,47.041398,-122.896774
ObjectId(5c894621e783f23ca09b4385),106572754,JPGill,648,95,575,"Sunnyvale, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4390),106621529,TwiitterName,276,360,13694,"LOOK UP!!, TEXAS   Nawlins,LA",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4399),106654843,Mami2flyi,97,57,743,CALIFORNIA,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b43a5),106702707,HannahGWright,42,36,96,South Bend IN,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b43e9),106897246,cruzgarcia7,256,165,2836,"Bloomington, IN",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b43ec),106901231,my2scrapchicks,803,623,3171,texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b43fa),106942163,curtiskj,305,319,12093,"Washington, DC",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b4405),106958044,siliconhomes,23,613,7622,"San Jose, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4409),10697232,drdrang,85,455,4633,"Naperville, Illinois",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b4415),107010417,jaehyun91,120,131,5138,"Champaign, IL",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b442e),107145674,PSAal,486,353,180,"Montgomery, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b442f),107150980,UniiqueTekniqz,988,2102,11714,"Los Angeles, CA / Dayton, OH",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4435),107161142,TheYelloNegro,235,240,24590,"bham/the vallo, alabama",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b4438),107162792,AbnerBatiz,77,119,4989,Sacramento CA,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b444a),107223604,homepipe,2015,1426,1051,"Seattle, WA",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b444b),107223974,AM1220WLPO,40,88,3528,"LaSalle Peru Ottawa, IL.",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b445f),107279791,DevinFisch,89,11,1203,"Fort Worth, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4480),107403347,Allisonnnn7,66,115,1345,Texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4490),107438654,SassyNewsie,70,24,28,"San Jose, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4494),107445511,nhankins84,881,64,135,"Chicago, IL",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b449f),107496143,iCornbread,656,441,16636,"mobile, alabama",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b44b5),107550518,GuysOfLookbook,522,247,5493,"Hollywood, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b44b6),107552642,ChriShonSaid,640,696,16224,"Montgomery,Alabama",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b44bd),107570509,KerriKenney,60,17743,362,California,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b44bf),107575731,VampireMob,2954,2755,19570,"Los Angeles, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b44cc),107612608,AuntyAlias,647,314,5700,"San Francisco, CA, USA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b44d0),107617962,decordiathediva,298,306,11295,"where im at,texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b44d9),107636000,KickzMYAss,284,297,11034,JAY WALKIN W/ YA GIRL,47.041398,-122.896774
ObjectId(5c894621e783f23ca09b44f1),107737192,jasonkorb,94,31,224,"Giddings, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b44fe),107763294,BourbandSham,21,12,559,"Huntsville, Alabama, USA",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b451b),107838974,thorobreadmusic,1083,862,14863,"Dallas, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b455d),108056782,BamaBullyRescue,20,156,3463,Alabama,32.346251,-86.268593
ObjectId(5c894621e783f23ca09b4588),108170598,jhanereifsteck,218,100,1206,"Champaign, IL",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b458b),108182309,DreaminVampire,996,900,22909,Hotel California,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b458f),108186215,DiANNe0985,617,274,2691,Northern California,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4594),108205449,ONEDEEPCLOTHING,305,237,1527,Texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4595),108208843,melvin8489,195,210,8337,California,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b45b8),108342384,FliG5tLif3Dash,267,323,17816,MOON WALKING.!,47.041398,-122.896774
ObjectId(5c894621e783f23ca09b45bf),108358749,aldotcomPreps,1,126,3083,Alabama,32.346251,-86.268593
ObjectId(5c894621e783f23ca09b45cd),108394246,layweed,61,27,9174,"Austin, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b45e2),108440501,cmrwilliams,142,259,892,"Austin, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b45f2),108509671,DrKevinDC,229,167,752,"Pasadena, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b45f9),108520811,OzStockman,85,124,2889,"Ozona, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b461e),108633546,DakotahJane,400,163,5856,"Stevenson, WA",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b463e),10874902,micahgideon,61,80,1373,"Bloomington, IN",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b4661),108860405,charethcutestry,134,51,9653,california,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b466e),108908542,ndpparkercounty,2,8,191,"Parker County, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4681),108977247,itsALLboutME,129,68,1753,Anywhere where The CASH at,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b46a6),109080865,ProducerNine,79,4352,6129,"Los Angeles, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b46a9),109094412,MorganAlysha,131,162,2859,"San Antonio, Texas.",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b46ad),109100482,OhNoItsOjoh,694,1073,21492,"Mo City/Beaumont, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b46b9),109155598,Sickzombi3,19,6,223,Jeffersonville IN,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b46c1),109192303,Soldierjohn,5320,5391,27209,Texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b46d6),109268265,RunMoniRun,70,128,9136,"Houston, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b46df),109312026,allinonedomains,116,70,1145,"Houston, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b46e8),109342397,KateSpringer,260,293,1093,"Champaign, IL",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b46f3),109369783,kaganoffkitchen,283,204,1629,"Los Angeles, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b46f4),109370777,ThaMinority,198,361,29425,"Tuskegee, Alabama",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b4712),109448294,kaelinmuse,914,464,4963,"Austin, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4718),109459518,SomeGirlsTweets,485,1654,10689,Texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b471f),109482759,68ANDIOU1,168,216,22747,WORLD IN MY HEAD,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b4723),109493626,Casper300zx,262,206,7426,"Modesto, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b472b),109511890,GRINCHO484,2000,933,12483,"BAY AREA,EAST PALO ALTO,THA G",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b472e),109525426,JakeShhh,82,50,1389,Boise Id. Orange county CA.,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b4740),109569992,CaptainBLUNTman,35144,41026,25959,Washington D.C,47.041398,-122.896774
ObjectId(5c894621e783f23ca09b4757),109667076,firebuzztap,16,453,2693,"Chicago, IL",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b4778),109757210,maddiemac24,81,25,501,Illinois,39.763908,-89.670832
ObjectId(5c894621e783f23ca09b4788),109811731,StarrkWolf,216,94,1269,"Austin, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b4796),10985382,jasonsamfield,2001,706,2999,"San Marcos, TX, USA",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b479d),109920612,cathysvoice,460,343,1821,Indianapolis,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b47a7),109956393,skim277,176,46,71,"Champaign, IL",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b47ac),109971742,mrisha5,615,508,378,Illinois,39.763908,-89.670832
ObjectId(5c894621e783f23ca09b47ae),10998412,travisbedard,1162,1793,28835,"Austin, TX, USA",30.307182,-97.755996
